time_local,time_utc,ts,symbol,O,H,L,C,age_sec,tz_off_h,skew_sec
2026-02-13 01:39:00,2026-02-13 00:39:00,1770943140,CADCHF_otc,0.51350,0.51391,0.51307,0.51357,2324,2,0
2026-02-13 01:40:00,2026-02-13 00:40:00,1770943200,CADCHF_otc,0.51357,0.51383,0.51316,0.51329,2264,2,0
2026-02-13 01:41:00,2026-02-13 00:41:00,1770943260,CADCHF_otc,0.51326,0.51326,0.51143,0.51211,2204,2,0
2026-02-13 01:42:00,2026-02-13 00:42:00,1770943320,CADCHF_otc,0.51214,0.51331,0.51203,0.51292,2144,2,0
2026-02-13 01:43:00,2026-02-13 00:43:00,1770943380,CADCHF_otc,0.51295,0.51307,0.51207,0.51222,2084,2,0
2026-02-13 01:44:00,2026-02-13 00:44:00,1770943440,CADCHF_otc,0.51222,0.51262,0.51149,0.51149,2024,2,0
2026-02-13 01:45:00,2026-02-13 00:45:00,1770943500,CADCHF_otc,0.51149,0.51153,0.51079,0.51149,1964,2,0
2026-02-13 01:46:00,2026-02-13 00:46:00,1770943560,CADCHF_otc,0.51154,0.51202,0.51063,0.51091,1904,2,0
2026-02-13 01:47:00,2026-02-13 00:47:00,1770943620,CADCHF_otc,0.51087,0.51186,0.51074,0.51181,1844,2,0
2026-02-13 01:48:00,2026-02-13 00:48:00,1770943680,CADCHF_otc,0.51179,0.51244,0.51167,0.51211,1784,2,0
2026-02-13 01:49:00,2026-02-13 00:49:00,1770943740,CADCHF_otc,0.51211,0.51279,0.51187,0.51269,1724,2,0
2026-02-13 01:50:00,2026-02-13 00:50:00,1770943800,CADCHF_otc,0.51265,0.51315,0.51241,0.51306,1664,2,0
2026-02-13 01:51:00,2026-02-13 00:51:00,1770943860,CADCHF_otc,0.51301,0.51425,0.51286,0.51327,1604,2,0
2026-02-13 01:52:00,2026-02-13 00:52:00,1770943920,CADCHF_otc,0.51319,0.51430,0.51297,0.51404,1544,2,0
2026-02-13 01:53:00,2026-02-13 00:53:00,1770943980,CADCHF_otc,0.51408,0.51505,0.51394,0.51474,1484,2,0
2026-02-13 01:54:00,2026-02-13 00:54:00,1770944040,CADCHF_otc,0.51468,0.51518,0.51444,0.51481,1424,2,0
2026-02-13 01:55:00,2026-02-13 00:55:00,1770944100,CADCHF_otc,0.51483,0.51694,0.51465,0.51672,1364,2,0
2026-02-13 01:56:00,2026-02-13 00:56:00,1770944160,CADCHF_otc,0.51669,0.51684,0.51589,0.51662,1304,2,0
2026-02-13 01:57:00,2026-02-13 00:57:00,1770944220,CADCHF_otc,0.51665,0.51850,0.51665,0.51802,1244,2,0
2026-02-13 01:58:00,2026-02-13 00:58:00,1770944280,CADCHF_otc,0.51810,0.51906,0.51764,0.51847,1184,2,0
2026-02-13 01:59:00,2026-02-13 00:59:00,1770944340,CADCHF_otc,0.51842,0.51872,0.51809,0.51819,1124,2,0
2026-02-13 02:00:00,2026-02-13 01:00:00,1770944400,CADCHF_otc,0.51814,0.51814,0.51623,0.51638,1064,2,0
2026-02-13 02:01:00,2026-02-13 01:01:00,1770944460,CADCHF_otc,0.51638,0.51723,0.51632,0.51666,1004,2,0
2026-02-13 02:02:00,2026-02-13 01:02:00,1770944520,CADCHF_otc,0.51666,0.51784,0.51663,0.51698,944,2,0
2026-02-13 02:03:00,2026-02-13 01:03:00,1770944580,CADCHF_otc,0.51698,0.51794,0.51667,0.51794,884,2,0
2026-02-13 02:04:00,2026-02-13 01:04:00,1770944640,CADCHF_otc,0.51797,0.51856,0.51763,0.51779,824,2,0
2026-02-13 02:05:00,2026-02-13 01:05:00,1770944700,CADCHF_otc,0.51777,0.51790,0.51632,0.51633,764,2,0
2026-02-13 02:06:00,2026-02-13 01:06:00,1770944760,CADCHF_otc,0.51633,0.51757,0.51627,0.51696,704,2,0
2026-02-13 02:07:00,2026-02-13 01:07:00,1770944820,CADCHF_otc,0.51696,0.51770,0.51660,0.51689,644,2,0
2026-02-13 02:08:00,2026-02-13 01:08:00,1770944880,CADCHF_otc,0.51689,0.51737,0.51523,0.51534,584,2,0
2026-02-13 02:09:00,2026-02-13 01:09:00,1770944940,CADCHF_otc,0.51537,0.51537,0.51479,0.51515,524,2,0
2026-02-13 02:10:00,2026-02-13 01:10:00,1770945000,CADCHF_otc,0.51521,0.51558,0.51481,0.51535,464,2,0
2026-02-13 02:11:00,2026-02-13 01:11:00,1770945060,CADCHF_otc,0.51535,0.51539,0.51426,0.51531,404,2,0
2026-02-13 02:12:00,2026-02-13 01:12:00,1770945120,CADCHF_otc,0.51531,0.51537,0.51400,0.51402,344,2,0
2026-02-13 02:13:00,2026-02-13 01:13:00,1770945180,CADCHF_otc,0.51398,0.51514,0.51384,0.51508,284,2,0
2026-02-13 02:14:00,2026-02-13 01:14:00,1770945240,CADCHF_otc,0.51505,0.51527,0.51459,0.51466,224,2,0
2026-02-13 02:15:00,2026-02-13 01:15:00,1770945300,CADCHF_otc,0.51460,0.51460,0.51369,0.51394,164,2,0
2026-02-13 02:16:00,2026-02-13 01:16:00,1770945360,CADCHF_otc,0.51390,0.51477,0.51371,0.51426,104,2,0
2026-02-13 02:17:00,2026-02-13 01:17:00,1770945420,CADCHF_otc,0.51426,0.51442,0.51392,0.51413,44,2,0
2026-02-13 02:18:00,2026-02-13 01:18:00,1770945480,CADCHF_otc,0.51407,0.51488,0.51390,0.51476,3,2,0
2026-02-13 02:19:00,2026-02-13 01:19:00,1770945540,CADCHF_otc,0.51479,0.51482,0.51409,0.51420,3,2,0
2026-02-13 11:00:00,2026-02-13 10:00:00,1770976800,CADCHF_otc,0.50626,0.50673,0.50555,0.50575,2330,2,0
2026-02-13 11:01:00,2026-02-13 10:01:00,1770976860,CADCHF_otc,0.50565,0.50565,0.50438,0.50470,2270,2,0
2026-02-13 11:02:00,2026-02-13 10:02:00,1770976920,CADCHF_otc,0.50462,0.50534,0.50462,0.50505,2210,2,0
2026-02-13 11:03:00,2026-02-13 10:03:00,1770976980,CADCHF_otc,0.50498,0.50541,0.50479,0.50497,2150,2,0
2026-02-13 11:04:00,2026-02-13 10:04:00,1770977040,CADCHF_otc,0.50497,0.50513,0.50292,0.50306,2090,2,0
2026-02-13 11:05:00,2026-02-13 10:05:00,1770977100,CADCHF_otc,0.50308,0.50320,0.50226,0.50257,2030,2,0
2026-02-13 11:06:00,2026-02-13 10:06:00,1770977160,CADCHF_otc,0.50253,0.50256,0.50082,0.50091,1970,2,0
2026-02-13 11:07:00,2026-02-13 10:07:00,1770977220,CADCHF_otc,0.50091,0.50258,0.50082,0.50207,1910,2,0
2026-02-13 11:08:00,2026-02-13 10:08:00,1770977280,CADCHF_otc,0.50207,0.50268,0.50159,0.50258,1850,2,0
2026-02-13 11:09:00,2026-02-13 10:09:00,1770977340,CADCHF_otc,0.50258,0.50308,0.50257,0.50305,1790,2,0
2026-02-13 11:10:00,2026-02-13 10:10:00,1770977400,CADCHF_otc,0.50305,0.50305,0.50124,0.50174,1730,2,0
2026-02-13 11:11:00,2026-02-13 10:11:00,1770977460,CADCHF_otc,0.50179,0.50213,0.50133,0.50168,1670,2,0
2026-02-13 11:12:00,2026-02-13 10:12:00,1770977520,CADCHF_otc,0.50168,0.50186,0.50081,0.50085,1610,2,0
2026-02-13 11:13:00,2026-02-13 10:13:00,1770977580,CADCHF_otc,0.50085,0.50128,0.50028,0.50128,1550,2,0
2026-02-13 11:14:00,2026-02-13 10:14:00,1770977640,CADCHF_otc,0.50128,0.50145,0.49972,0.50020,1490,2,0
2026-02-13 11:15:00,2026-02-13 10:15:00,1770977700,CADCHF_otc,0.50022,0.50118,0.50001,0.50118,1430,2,0
2026-02-13 11:16:00,2026-02-13 10:16:00,1770977760,CADCHF_otc,0.50114,0.50183,0.50101,0.50173,1370,2,0
2026-02-13 11:17:00,2026-02-13 10:17:00,1770977820,CADCHF_otc,0.50173,0.50311,0.50159,0.50265,1310,2,0
