time_local,ts,symbol,O,H,L,C
2026-02-13 00:45:00,1770939900,CADCHF_otc,0.52354,0.52442,0.52331,0.52391,-1282
2026-02-13 00:46:00,1770939960,CADCHF_otc,0.52394,0.52453,0.52394,0.52453,-1342
2026-02-13 00:47:00,1770940020,CADCHF_otc,0.52453,0.52503,0.52402,0.52503,-1402
2026-02-13 00:48:00,1770940080,CADCHF_otc,0.52512,0.52535,0.52422,0.52428,-1462
2026-02-13 00:49:00,1770940140,CADCHF_otc,0.52419,0.52486,0.52407,0.52467,-1522
2026-02-13 00:50:00,1770940200,CADCHF_otc,0.52462,0.52488,0.52439,0.52481,-1582
2026-02-13 00:51:00,1770940260,CADCHF_otc,0.52486,0.52489,0.52331,0.52356,-1642
2026-02-13 00:52:00,1770940320,CADCHF_otc,0.52354,0.52398,0.52301,0.5236,-1702
2026-02-13 00:53:00,1770940380,CADCHF_otc,0.52363,0.52372,0.52286,0.52294,-1762
2026-02-13 00:54:00,1770940440,CADCHF_otc,0.52308,0.52336,0.52241,0.5225,-1822
2026-02-13 00:55:00,1770940500,CADCHF_otc,0.52245,0.52266,0.52208,0.52212,-1882
2026-02-13 00:56:00,1770940560,CADCHF_otc,0.52212,0.52255,0.52139,0.52147,-1942
2026-02-13 00:57:00,1770940620,CADCHF_otc,0.52147,0.52154,0.51997,0.52024,-2002
2026-02-13 00:58:00,1770940680,CADCHF_otc,0.52024,0.52084,0.5201,0.52062,-2062
2026-02-13 00:59:00,1770940740,CADCHF_otc,0.52062,0.52062,0.51962,0.51962,-2122
2026-02-13 01:00:00,1770940800,CADCHF_otc,0.51962,0.52054,0.51956,0.52019,-2182
2026-02-13 01:01:00,1770940860,CADCHF_otc,0.52022,0.52101,0.52008,0.52025,-2242
2026-02-13 01:02:00,1770940920,CADCHF_otc,0.52025,0.52145,0.52021,0.52136,-2302
2026-02-13 01:03:00,1770940980,CADCHF_otc,0.52136,0.52248,0.52124,0.52243,-2362
2026-02-13 01:04:00,1770941040,CADCHF_otc,0.52243,0.52311,0.52209,0.52229,-2422
2026-02-13 01:05:00,1770941100,CADCHF_otc,0.52229,0.52268,0.52199,0.52268,-2482
2026-02-13 01:06:00,1770941160,CADCHF_otc,0.52265,0.52286,0.52174,0.52257,-2542
2026-02-13 01:07:00,1770941220,CADCHF_otc,0.52257,0.52257,0.5216,0.52181,-2602
2026-02-13 01:08:00,1770941280,CADCHF_otc,0.52181,0.52247,0.52165,0.5218,-2662
2026-02-13 01:09:00,1770941340,CADCHF_otc,0.5218,0.5219,0.52083,0.52083,-2722
2026-02-13 01:10:00,1770941400,CADCHF_otc,0.5209,0.52138,0.52064,0.52104,-2782
2026-02-13 01:11:00,1770941460,CADCHF_otc,0.52116,0.52208,0.52074,0.52186,-2842
2026-02-13 01:12:00,1770941520,CADCHF_otc,0.5218,0.52238,0.52152,0.52172,-2902
2026-02-13 01:13:00,1770941580,CADCHF_otc,0.52167,0.52187,0.5205,0.52053,-2962
2026-02-13 01:14:00,1770941640,CADCHF_otc,0.5205,0.52068,0.5182,0.5185,-3022
2026-02-13 01:15:00,1770941700,CADCHF_otc,0.51843,0.51873,0.51794,0.51799,-3082
2026-02-13 01:16:00,1770941760,CADCHF_otc,0.5178,0.51859,0.51779,0.51798,-3142
2026-02-13 01:17:00,1770941820,CADCHF_otc,0.51793,0.51793,0.51667,0.51667,-3202
2026-02-13 01:18:00,1770941880,CADCHF_otc,0.51674,0.51725,0.51664,0.51682,-3262
2026-02-13 01:19:00,1770941940,CADCHF_otc,0.51693,0.51721,0.51668,0.51684,-3322
2026-02-13 01:20:00,1770942000,CADCHF_otc,0.5168,0.51753,0.51664,0.51696,-3382
2026-02-13 01:21:00,1770942060,CADCHF_otc,0.51701,0.51775,0.51681,0.51749,-3442
2026-02-13 01:22:00,1770942120,CADCHF_otc,0.51747,0.51815,0.51698,0.51808,-3502
2026-02-13 01:23:00,1770942180,CADCHF_otc,0.51808,0.51825,0.51734,0.51742,-3562
2026-02-13 01:24:00,1770942240,CADCHF_otc,0.51742,0.51834,0.51636,0.51643,-3622
2026-02-13 01:25:00,1770942300,CADCHF_otc,0.51647,0.51682,0.51581,0.51581,-3682
2026-02-13 01:26:00,1770942360,CADCHF_otc,0.51578,0.51601,0.51546,0.51563,-3742
