ts,symbol,status,open,high,low,close,upper,lower,is_cross
1771157220,CHFJPY_otc,LIVE,200.042,200.13,200.042,200.098,1,0,0
1771157280,CHFJPY_otc,LIVE,200.098,200.131,200.048,200.05,1,1,1
1771157340,CHFJPY_otc,LIVE,200.05,200.058,199.9,199.903,1,1,1
1771157400,CHFJPY_otc,LIVE,199.9,200.023,199.876,200.019,1,1,1
1771157460,CHFJPY_otc,LIVE,200.019,200.114,200.011,200.085,1,1,1
1771157520,CHFJPY_otc,LIVE,200.085,200.089,199.872,199.901,1,1,1
1771157580,CHFJPY_otc,LIVE,199.901,200.011,199.873,199.886,1,1,1
1771157640,CHFJPY_otc,LIVE,199.886,199.927,199.833,199.838,1,1,1
1771157700,CHFJPY_otc,LIVE,199.838,199.854,199.682,199.682,1,0,0
1771157760,CHFJPY_otc,LIVE,199.682,199.837,199.682,199.808,1,0,0
1771157820,CHFJPY_otc,LIVE,199.808,199.877,199.758,199.874,1,1,1
1771157880,CHFJPY_otc,LIVE,199.87,199.968,199.87,199.926,1,0,0
1771157940,CHFJPY_otc,LIVE,199.919,199.919,199.692,199.709,0,1,0
1771158000,CHFJPY_otc,LIVE,199.713,199.802,199.698,199.798,1,1,1
1771158060,CHFJPY_otc,LIVE,199.798,199.853,199.794,199.834,1,1,1
1771158120,CHFJPY_otc,LIVE,199.834,199.834,199.749,199.775,0,1,0
1771158180,CHFJPY_otc,LIVE,199.768,199.889,199.72,199.871,1,1,1
1771158240,CHFJPY_otc,LIVE,199.874,199.919,199.83,199.868,1,1,1
1771158300,CHFJPY_otc,LIVE,199.871,199.891,199.769,199.783,1,1,1
1771158360,CHFJPY_otc,LIVE,199.787,199.975,199.758,199.962,1,1,1
1771158420,CHFJPY_otc,LIVE,199.956,199.956,199.818,199.913,0,1,0
1771158480,CHFJPY_otc,LIVE,199.918,199.948,199.882,199.904,1,1,1
1771158540,CHFJPY_otc,LIVE,199.901,199.969,199.875,199.961,1,1,1
1771158600,CHFJPY_otc,LIVE,199.957,200.028,199.908,199.991,1,1,1
1771158660,CHFJPY_otc,LIVE,199.988,200.115,199.981,200.105,1,1,1
1771158720,CHFJPY_otc,LIVE,200.102,200.131,199.981,199.984,1,1,1
1771158780,CHFJPY_otc,LIVE,199.981,200.043,199.949,200.017,1,1,1
1771158840,CHFJPY_otc,LIVE,200.014,200.12,200.01,200.11,1,1,1
1771158900,CHFJPY_otc,LIVE,200.115,200.158,200.003,200.047,1,1,1
1771158960,CHFJPY_otc,LIVE,200.051,200.051,199.952,199.952,0,0,0
1771159020,CHFJPY_otc,LIVE,199.952,200.023,199.916,199.918,1,1,1
1771159080,CHFJPY_otc,LIVE,199.918,200.073,199.909,199.947,1,1,1
1771159140,CHFJPY_otc,LIVE,199.947,200.155,199.909,200.127,1,1,1
1771159200,CHFJPY_otc,LIVE,200.127,200.261,200.097,200.211,1,1,1
1771159260,CHFJPY_otc,LIVE,200.217,200.26,200.128,200.144,1,1,1
1771159320,CHFJPY_otc,LIVE,200.144,200.155,200.015,200.015,1,0,0
1771159380,CHFJPY_otc,LIVE,200.015,200.104,199.982,200.067,1,1,1
1771159440,CHFJPY_otc,LIVE,200.067,200.106,199.947,199.968,1,1,1
1771159500,CHFJPY_otc,LIVE,199.965,200.115,199.963,200.093,1,1,1
1771159560,CHFJPY_otc,LIVE,200.089,200.221,200.059,200.208,1,1,1
1771159620,CHFJPY_otc,LIVE,200.208,200.281,200.192,200.244,1,1,1
1771159680,CHFJPY_otc,LIVE,200.244,200.269,200.192,200.24,1,1,1
1771159740,CHFJPY_otc,LIVE,200.24,200.3,200.184,200.238,1,1,1
1771159800,CHFJPY_otc,LIVE,200.234,200.246,200.153,200.203,1,1,1
1771159860,CHFJPY_otc,LIVE,200.197,200.197,200.077,200.086,0,1,0
1771159920,CHFJPY_otc,LIVE,200.091,200.145,200.069,200.111,1,1,1
1771159980,CHFJPY_otc,LIVE,200.118,200.137,199.987,200.035,1,1,1
1771160040,CHFJPY_otc,LIVE,200.03,200.049,199.972,199.982,1,1,1
1771160100,CHFJPY_otc,LIVE,199.986,200.107,199.986,200.093,1,0,0
1771160160,CHFJPY_otc,LIVE,200.098,200.357,200.078,200.316,1,1,1
1771160220,CHFJPY_otc,LIVE,200.319,200.394,200.252,200.385,1,1,1
1771160280,CHFJPY_otc,LIVE,200.373,200.444,200.321,200.357,1,1,1
1771160340,CHFJPY_otc,LIVE,200.361,200.38,200.304,200.33,1,1,1
1771160400,CHFJPY_otc,LIVE,200.33,200.361,200.238,200.29,1,1,1
1771160460,CHFJPY_otc,LIVE,200.29,200.407,200.28,200.324,1,1,1
1771160520,CHFJPY_otc,LIVE,200.327,200.479,200.327,200.46,1,0,0
1771160580,CHFJPY_otc,LIVE,200.463,200.463,200.366,200.374,0,1,0
1771160640,CHFJPY_otc,LIVE,200.374,200.413,200.346,200.375,1,1,1
1771160700,CHFJPY_otc,LIVE,200.375,200.4,200.183,200.183,1,0,0
1771160760,CHFJPY_otc,LIVE,200.183,200.21,200.115,200.194,1,1,1
1771160820,CHFJPY_otc,LIVE,200.194,200.194,200.117,200.118,0,1,0
1771160880,CHFJPY_otc,LIVE,200.131,200.155,200.05,200.07,1,1,1
1771160940,CHFJPY_otc,LIVE,200.07,200.102,199.919,199.922,1,1,1
1771161000,CHFJPY_otc,LIVE,199.922,199.968,199.863,199.886,1,1,1
1771161060,CHFJPY_otc,LIVE,199.886,199.966,199.885,199.908,1,1,1
1771161120,CHFJPY_otc,LIVE,199.903,199.97,199.829,199.843,1,1,1
1771161180,CHFJPY_otc,LIVE,199.839,199.882,199.74,199.752,1,1,1
1771161240,CHFJPY_otc,LIVE,199.746,199.771,199.623,199.66,1,1,1
1771161300,CHFJPY_otc,LIVE,199.66,199.745,199.647,199.745,0,1,0
1771161360,CHFJPY_otc,LIVE,199.736,199.74,199.645,199.665,1,1,1
1771161420,CHFJPY_otc,LIVE,199.653,199.69,199.606,199.64,1,1,1
1771161480,CHFJPY_otc,LIVE,199.635,199.646,199.53,199.546,1,1,1
1771161540,CHFJPY_otc,LIVE,199.546,199.566,199.495,199.522,1,1,1
1771161600,CHFJPY_otc,LIVE,199.518,199.545,199.468,199.494,1,1,1
1771161660,CHFJPY_otc,LIVE,199.501,199.607,199.495,199.564,1,1,1
1771161720,CHFJPY_otc,LIVE,199.572,199.621,199.518,199.579,1,1,1
1771161780,CHFJPY_otc,LIVE,199.576,199.598,199.466,199.481,1,1,1
1771161840,CHFJPY_otc,LIVE,199.478,199.513,199.441,199.492,1,1,1
1771161900,CHFJPY_otc,LIVE,199.499,199.512,199.4,199.488,1,1,1
1771161960,CHFJPY_otc,LIVE,199.482,199.482,199.348,199.439,0,1,0
1771162020,CHFJPY_otc,LIVE,199.443,199.49,199.343,199.467,1,1,1
